True
Epoch: [72][0/625]	Time 14.573 (14.573)	Data 14.462 (14.462)	Loss 0.0026 (0.0026)	
Epoch: [72][25/625]	Time 13.125 (9.578)	Data 13.020 (9.474)	Loss 0.0018 (0.0028)	
Epoch: [72][50/625]	Time 13.197 (8.698)	Data 13.095 (8.594)	Loss 0.0028 (0.0027)	
Epoch: [72][75/625]	Time 7.376 (8.321)	Data 7.274 (8.217)	Loss 0.0034 (0.0027)	
Epoch: [72][100/625]	Time 9.935 (8.301)	Data 9.833 (8.198)	Loss 0.0026 (0.0027)	
Epoch: [72][125/625]	Time 13.341 (8.474)	Data 13.239 (8.370)	Loss 0.0019 (0.0027)	
Epoch: [72][150/625]	Time 9.300 (8.451)	Data 9.197 (8.347)	Loss 0.0025 (0.0027)	
Epoch: [72][175/625]	Time 8.396 (8.295)	Data 8.294 (8.191)	Loss 0.0022 (0.0027)	
Epoch: [72][200/625]	Time 12.187 (8.391)	Data 12.084 (8.287)	Loss 0.0023 (0.0027)	
Epoch: [72][225/625]	Time 12.117 (8.479)	Data 12.004 (8.375)	Loss 0.0024 (0.0027)	
Epoch: [72][250/625]	Time 17.245 (8.575)	Data 17.143 (8.470)	Loss 0.0029 (0.0027)	
Epoch: [72][275/625]	Time 5.742 (8.527)	Data 5.640 (8.422)	Loss 0.0033 (0.0027)	
Epoch: [72][300/625]	Time 5.350 (8.393)	Data 5.246 (8.289)	Loss 0.0030 (0.0027)	
Epoch: [72][325/625]	Time 5.693 (8.192)	Data 5.581 (8.088)	Loss 0.0026 (0.0027)	
Epoch: [72][350/625]	Time 5.012 (8.079)	Data 4.909 (7.975)	Loss 0.0021 (0.0027)	
Epoch: [72][375/625]	Time 6.191 (7.961)	Data 6.089 (7.857)	Loss 0.0034 (0.0027)	
Epoch: [72][400/625]	Time 6.586 (7.937)	Data 6.484 (7.833)	Loss 0.0023 (0.0027)	
Epoch: [72][425/625]	Time 6.630 (7.865)	Data 6.527 (7.761)	Loss 0.0027 (0.0027)	
Epoch: [72][450/625]	Time 6.296 (7.821)	Data 6.193 (7.717)	Loss 0.0024 (0.0027)	
Epoch: [72][475/625]	Time 5.120 (7.812)	Data 5.017 (7.707)	Loss 0.0025 (0.0027)	
Epoch: [72][500/625]	Time 9.127 (7.798)	Data 9.025 (7.694)	Loss 0.0025 (0.0027)	
Epoch: [72][525/625]	Time 8.491 (7.765)	Data 8.389 (7.661)	Loss 0.0042 (0.0027)	
Epoch: [72][550/625]	Time 8.126 (7.795)	Data 8.015 (7.691)	Loss 0.0024 (0.0027)	
Epoch: [72][575/625]	Time 4.865 (7.801)	Data 4.763 (7.697)	Loss 0.0028 (0.0027)	
Epoch: [72][600/625]	Time 10.581 (7.837)	Data 10.469 (7.733)	Loss 0.0024 (0.0027)	
