True
Epoch: [6][0/625]	Time 3.595 (3.595)	Data 3.492 (3.492)	Loss 0.0024 (0.0024)	
Epoch: [6][25/625]	Time 3.671 (3.641)	Data 3.569 (3.538)	Loss 0.0035 (0.0030)	
Epoch: [6][50/625]	Time 3.651 (3.640)	Data 3.548 (3.537)	Loss 0.0026 (0.0030)	
Epoch: [6][75/625]	Time 3.666 (3.647)	Data 3.564 (3.543)	Loss 0.0028 (0.0030)	
Epoch: [6][100/625]	Time 3.660 (3.651)	Data 3.557 (3.548)	Loss 0.0025 (0.0030)	
Epoch: [6][125/625]	Time 3.621 (3.653)	Data 3.519 (3.549)	Loss 0.0028 (0.0029)	
Epoch: [6][150/625]	Time 3.687 (3.656)	Data 3.585 (3.552)	Loss 0.0030 (0.0030)	
Epoch: [6][175/625]	Time 3.619 (3.660)	Data 3.518 (3.557)	Loss 0.0033 (0.0030)	
Epoch: [6][200/625]	Time 3.639 (3.684)	Data 3.537 (3.581)	Loss 0.0027 (0.0029)	
Epoch: [6][225/625]	Time 3.665 (3.684)	Data 3.562 (3.581)	Loss 0.0034 (0.0029)	
Epoch: [6][250/625]	Time 3.673 (3.693)	Data 3.571 (3.589)	Loss 0.0029 (0.0029)	
Epoch: [6][275/625]	Time 3.716 (3.697)	Data 3.612 (3.593)	Loss 0.0033 (0.0029)	
Epoch: [6][300/625]	Time 3.689 (3.697)	Data 3.587 (3.593)	Loss 0.0032 (0.0029)	
Epoch: [6][325/625]	Time 3.634 (3.697)	Data 3.531 (3.593)	Loss 0.0029 (0.0029)	
Epoch: [6][350/625]	Time 3.598 (3.695)	Data 3.496 (3.592)	Loss 0.0034 (0.0029)	
Epoch: [6][375/625]	Time 3.724 (3.695)	Data 3.621 (3.592)	Loss 0.0033 (0.0029)	
Epoch: [6][400/625]	Time 3.636 (3.695)	Data 3.534 (3.592)	Loss 0.0030 (0.0029)	
Epoch: [6][425/625]	Time 3.712 (3.707)	Data 3.610 (3.604)	Loss 0.0033 (0.0029)	
Epoch: [6][450/625]	Time 3.620 (3.711)	Data 3.516 (3.608)	Loss 0.0031 (0.0029)	
Epoch: [6][475/625]	Time 3.662 (3.711)	Data 3.559 (3.607)	Loss 0.0033 (0.0029)	
Epoch: [6][500/625]	Time 3.794 (3.711)	Data 3.691 (3.607)	Loss 0.0032 (0.0029)	
Epoch: [6][525/625]	Time 3.652 (3.709)	Data 3.549 (3.606)	Loss 0.0034 (0.0029)	
Epoch: [6][550/625]	Time 3.672 (3.710)	Data 3.569 (3.606)	Loss 0.0029 (0.0029)	
Epoch: [6][575/625]	Time 3.626 (3.712)	Data 3.522 (3.608)	Loss 0.0028 (0.0029)	
Epoch: [6][600/625]	Time 3.811 (3.712)	Data 3.709 (3.609)	Loss 0.0026 (0.0029)	
