True
Epoch: [39][0/625]	Time 3.854 (3.854)	Data 3.749 (3.749)	Loss 0.0028 (0.0028)	
Epoch: [39][25/625]	Time 3.957 (3.875)	Data 3.856 (3.771)	Loss 0.0018 (0.0026)	
Epoch: [39][50/625]	Time 4.225 (3.887)	Data 4.120 (3.783)	Loss 0.0027 (0.0026)	
Epoch: [39][75/625]	Time 3.943 (3.905)	Data 3.840 (3.800)	Loss 0.0027 (0.0027)	
Epoch: [39][100/625]	Time 3.761 (3.897)	Data 3.658 (3.793)	Loss 0.0029 (0.0027)	
Epoch: [39][125/625]	Time 3.667 (3.874)	Data 3.564 (3.770)	Loss 0.0027 (0.0027)	
Epoch: [39][150/625]	Time 3.696 (3.848)	Data 3.594 (3.745)	Loss 0.0023 (0.0026)	
Epoch: [39][175/625]	Time 3.777 (3.865)	Data 3.675 (3.761)	Loss 0.0021 (0.0026)	
Epoch: [39][200/625]	Time 3.724 (3.846)	Data 3.621 (3.742)	Loss 0.0020 (0.0026)	
Epoch: [39][225/625]	Time 3.719 (3.842)	Data 3.616 (3.738)	Loss 0.0023 (0.0026)	
Epoch: [39][250/625]	Time 3.782 (3.831)	Data 3.680 (3.727)	Loss 0.0024 (0.0026)	
Epoch: [39][275/625]	Time 3.734 (3.824)	Data 3.632 (3.721)	Loss 0.0028 (0.0026)	
Epoch: [39][300/625]	Time 3.876 (3.823)	Data 3.774 (3.720)	Loss 0.0022 (0.0026)	
Epoch: [39][325/625]	Time 3.745 (3.818)	Data 3.643 (3.715)	Loss 0.0029 (0.0026)	
Epoch: [39][350/625]	Time 5.584 (3.827)	Data 5.482 (3.724)	Loss 0.0025 (0.0026)	
Epoch: [39][375/625]	Time 3.697 (3.835)	Data 3.595 (3.731)	Loss 0.0027 (0.0026)	
Epoch: [39][400/625]	Time 3.780 (3.849)	Data 3.678 (3.746)	Loss 0.0028 (0.0026)	
Epoch: [39][425/625]	Time 4.662 (3.876)	Data 4.559 (3.773)	Loss 0.0034 (0.0026)	
Epoch: [39][450/625]	Time 4.036 (3.907)	Data 3.934 (3.804)	Loss 0.0030 (0.0026)	
Epoch: [39][475/625]	Time 4.741 (3.942)	Data 4.630 (3.839)	Loss 0.0026 (0.0026)	
Epoch: [39][500/625]	Time 4.067 (3.952)	Data 3.965 (3.849)	Loss 0.0025 (0.0026)	
Epoch: [39][525/625]	Time 5.733 (3.990)	Data 5.631 (3.887)	Loss 0.0022 (0.0026)	
Epoch: [39][550/625]	Time 4.128 (4.041)	Data 4.026 (3.938)	Loss 0.0031 (0.0027)	
Epoch: [39][575/625]	Time 3.868 (4.052)	Data 3.766 (3.949)	Loss 0.0028 (0.0027)	
Epoch: [39][600/625]	Time 5.094 (4.063)	Data 4.993 (3.960)	Loss 0.0023 (0.0026)	
