True
Epoch: [13][0/625]	Time 3.716 (3.716)	Data 3.613 (3.613)	Loss 0.0033 (0.0033)	
Epoch: [13][25/625]	Time 3.780 (3.779)	Data 3.678 (3.676)	Loss 0.0030 (0.0029)	
Epoch: [13][50/625]	Time 3.754 (3.784)	Data 3.651 (3.681)	Loss 0.0033 (0.0029)	
Epoch: [13][75/625]	Time 3.768 (3.787)	Data 3.657 (3.684)	Loss 0.0020 (0.0028)	
Epoch: [13][100/625]	Time 3.795 (3.789)	Data 3.692 (3.686)	Loss 0.0030 (0.0029)	
Epoch: [13][125/625]	Time 3.807 (3.791)	Data 3.704 (3.688)	Loss 0.0027 (0.0029)	
Epoch: [13][150/625]	Time 3.733 (3.794)	Data 3.630 (3.690)	Loss 0.0035 (0.0028)	
Epoch: [13][175/625]	Time 5.116 (3.808)	Data 5.013 (3.705)	Loss 0.0024 (0.0028)	
Epoch: [13][200/625]	Time 3.820 (3.833)	Data 3.707 (3.730)	Loss 0.0031 (0.0028)	
Epoch: [13][225/625]	Time 3.823 (3.838)	Data 3.720 (3.734)	Loss 0.0024 (0.0028)	
Epoch: [13][250/625]	Time 5.958 (3.849)	Data 5.856 (3.745)	Loss 0.0030 (0.0028)	
Epoch: [13][275/625]	Time 3.837 (3.845)	Data 3.730 (3.742)	Loss 0.0030 (0.0028)	
Epoch: [13][300/625]	Time 3.839 (3.846)	Data 3.728 (3.743)	Loss 0.0023 (0.0028)	
Epoch: [13][325/625]	Time 3.781 (3.850)	Data 3.677 (3.746)	Loss 0.0029 (0.0028)	
Epoch: [13][350/625]	Time 3.843 (3.848)	Data 3.741 (3.744)	Loss 0.0031 (0.0028)	
Epoch: [13][375/625]	Time 3.793 (3.846)	Data 3.691 (3.742)	Loss 0.0038 (0.0028)	
Epoch: [13][400/625]	Time 3.747 (3.845)	Data 3.645 (3.741)	Loss 0.0024 (0.0028)	
Epoch: [13][425/625]	Time 3.770 (3.845)	Data 3.669 (3.741)	Loss 0.0027 (0.0028)	
Epoch: [13][450/625]	Time 3.893 (3.844)	Data 3.779 (3.741)	Loss 0.0030 (0.0028)	
Epoch: [13][475/625]	Time 3.805 (3.846)	Data 3.703 (3.743)	Loss 0.0028 (0.0028)	
Epoch: [13][500/625]	Time 3.808 (3.845)	Data 3.705 (3.741)	Loss 0.0025 (0.0028)	
Epoch: [13][525/625]	Time 3.776 (3.844)	Data 3.673 (3.740)	Loss 0.0028 (0.0028)	
Epoch: [13][550/625]	Time 3.743 (3.848)	Data 3.642 (3.745)	Loss 0.0027 (0.0028)	
Epoch: [13][575/625]	Time 3.800 (3.847)	Data 3.689 (3.743)	Loss 0.0027 (0.0028)	
Epoch: [13][600/625]	Time 3.750 (3.851)	Data 3.647 (3.747)	Loss 0.0026 (0.0028)	
