True
Epoch: [32][0/625]	Time 3.591 (3.591)	Data 3.489 (3.489)	Loss 0.0034 (0.0034)	
Epoch: [32][25/625]	Time 3.615 (3.593)	Data 3.513 (3.491)	Loss 0.0023 (0.0027)	
Epoch: [32][50/625]	Time 3.569 (3.598)	Data 3.466 (3.496)	Loss 0.0026 (0.0026)	
Epoch: [32][75/625]	Time 3.558 (3.601)	Data 3.455 (3.499)	Loss 0.0020 (0.0026)	
Epoch: [32][100/625]	Time 3.647 (3.603)	Data 3.545 (3.500)	Loss 0.0027 (0.0027)	
Epoch: [32][125/625]	Time 3.581 (3.605)	Data 3.478 (3.502)	Loss 0.0023 (0.0027)	
Epoch: [32][150/625]	Time 3.661 (3.606)	Data 3.558 (3.503)	Loss 0.0038 (0.0027)	
Epoch: [32][175/625]	Time 3.623 (3.606)	Data 3.522 (3.503)	Loss 0.0025 (0.0027)	
Epoch: [32][200/625]	Time 3.621 (3.606)	Data 3.518 (3.503)	Loss 0.0028 (0.0027)	
Epoch: [32][225/625]	Time 3.600 (3.606)	Data 3.488 (3.503)	Loss 0.0023 (0.0027)	
Epoch: [32][250/625]	Time 3.642 (3.606)	Data 3.539 (3.503)	Loss 0.0026 (0.0027)	
Epoch: [32][275/625]	Time 3.619 (3.606)	Data 3.518 (3.503)	Loss 0.0027 (0.0027)	
Epoch: [32][300/625]	Time 3.613 (3.605)	Data 3.512 (3.502)	Loss 0.0023 (0.0027)	
Epoch: [32][325/625]	Time 3.611 (3.604)	Data 3.508 (3.502)	Loss 0.0027 (0.0027)	
Epoch: [32][350/625]	Time 3.607 (3.605)	Data 3.506 (3.502)	Loss 0.0024 (0.0027)	
Epoch: [32][375/625]	Time 3.596 (3.605)	Data 3.493 (3.502)	Loss 0.0033 (0.0027)	
Epoch: [32][400/625]	Time 3.634 (3.606)	Data 3.533 (3.503)	Loss 0.0018 (0.0027)	
Epoch: [32][425/625]	Time 3.585 (3.606)	Data 3.483 (3.504)	Loss 0.0021 (0.0027)	
Epoch: [32][450/625]	Time 3.581 (3.606)	Data 3.480 (3.503)	Loss 0.0027 (0.0027)	
Epoch: [32][475/625]	Time 3.618 (3.604)	Data 3.517 (3.502)	Loss 0.0030 (0.0027)	
Epoch: [32][500/625]	Time 3.563 (3.604)	Data 3.460 (3.501)	Loss 0.0028 (0.0027)	
Epoch: [32][525/625]	Time 3.576 (3.604)	Data 3.474 (3.501)	Loss 0.0029 (0.0027)	
Epoch: [32][550/625]	Time 3.594 (3.603)	Data 3.484 (3.500)	Loss 0.0025 (0.0027)	
Epoch: [32][575/625]	Time 3.604 (3.603)	Data 3.495 (3.500)	Loss 0.0027 (0.0027)	
Epoch: [32][600/625]	Time 3.596 (3.603)	Data 3.495 (3.500)	Loss 0.0026 (0.0027)	
