True
Epoch: [0][0/625]	Time 11.884 (11.884)	Data 6.088 (6.088)	Loss 0.3258 (0.3258)	
Epoch: [0][25/625]	Time 11.594 (7.411)	Data 11.492 (7.089)	Loss 0.0054 (0.0468)	
Epoch: [0][50/625]	Time 5.632 (7.096)	Data 5.530 (6.881)	Loss 0.0044 (0.0266)	
Epoch: [0][75/625]	Time 7.190 (7.096)	Data 7.081 (6.917)	Loss 0.0040 (0.0192)	
Epoch: [0][100/625]	Time 5.172 (6.919)	Data 5.065 (6.758)	Loss 0.0058 (0.0155)	
Epoch: [0][125/625]	Time 5.529 (6.720)	Data 5.428 (6.570)	Loss 0.0040 (0.0133)	
Epoch: [0][150/625]	Time 5.917 (6.834)	Data 5.814 (6.692)	Loss 0.0049 (0.0117)	
Epoch: [0][175/625]	Time 6.209 (7.006)	Data 6.106 (6.868)	Loss 0.0039 (0.0106)	
Epoch: [0][200/625]	Time 5.727 (6.998)	Data 5.616 (6.865)	Loss 0.0042 (0.0098)	
Epoch: [0][225/625]	Time 8.438 (6.986)	Data 8.334 (6.856)	Loss 0.0037 (0.0092)	
Epoch: [0][250/625]	Time 7.115 (6.968)	Data 7.012 (6.840)	Loss 0.0035 (0.0087)	
Epoch: [0][275/625]	Time 6.196 (6.878)	Data 6.093 (6.752)	Loss 0.0047 (0.0082)	
Epoch: [0][300/625]	Time 6.982 (6.818)	Data 6.870 (6.694)	Loss 0.0034 (0.0079)	
Epoch: [0][325/625]	Time 9.536 (6.811)	Data 9.433 (6.689)	Loss 0.0029 (0.0076)	
Epoch: [0][350/625]	Time 5.475 (6.828)	Data 5.373 (6.707)	Loss 0.0095 (0.0073)	
Epoch: [0][375/625]	Time 5.688 (6.811)	Data 5.576 (6.691)	Loss 0.0026 (0.0071)	
Epoch: [0][400/625]	Time 5.799 (6.759)	Data 5.695 (6.640)	Loss 0.0044 (0.0069)	
Epoch: [0][425/625]	Time 6.003 (6.699)	Data 5.900 (6.580)	Loss 0.0030 (0.0067)	
Epoch: [0][450/625]	Time 5.689 (6.670)	Data 5.585 (6.553)	Loss 0.0033 (0.0066)	
Epoch: [0][475/625]	Time 6.843 (6.631)	Data 6.739 (6.514)	Loss 0.0046 (0.0064)	
Epoch: [0][500/625]	Time 6.481 (6.634)	Data 6.378 (6.518)	Loss 0.0032 (0.0063)	
Epoch: [0][525/625]	Time 5.766 (6.637)	Data 5.663 (6.521)	Loss 0.0024 (0.0062)	
Epoch: [0][550/625]	Time 5.933 (6.597)	Data 5.829 (6.482)	Loss 0.0029 (0.0060)	
Epoch: [0][575/625]	Time 6.020 (6.549)	Data 5.917 (6.435)	Loss 0.0039 (0.0059)	
Epoch: [0][600/625]	Time 5.098 (6.511)	Data 4.996 (6.397)	Loss 0.0033 (0.0058)	
