True
Epoch: [18][0/625]	Time 3.873 (3.873)	Data 3.771 (3.771)	Loss 0.0026 (0.0026)	
Epoch: [18][25/625]	Time 3.854 (3.877)	Data 3.752 (3.774)	Loss 0.0024 (0.0027)	
Epoch: [18][50/625]	Time 3.815 (3.878)	Data 3.713 (3.775)	Loss 0.0024 (0.0028)	
Epoch: [18][75/625]	Time 3.771 (3.886)	Data 3.661 (3.783)	Loss 0.0026 (0.0028)	
Epoch: [18][100/625]	Time 3.811 (3.888)	Data 3.708 (3.785)	Loss 0.0026 (0.0028)	
Epoch: [18][125/625]	Time 3.791 (3.884)	Data 3.688 (3.781)	Loss 0.0025 (0.0028)	
Epoch: [18][150/625]	Time 3.790 (3.883)	Data 3.687 (3.780)	Loss 0.0028 (0.0028)	
Epoch: [18][175/625]	Time 3.812 (3.881)	Data 3.710 (3.778)	Loss 0.0024 (0.0028)	
Epoch: [18][200/625]	Time 3.857 (3.879)	Data 3.755 (3.776)	Loss 0.0023 (0.0028)	
Epoch: [18][225/625]	Time 3.876 (3.879)	Data 3.775 (3.776)	Loss 0.0029 (0.0028)	
Epoch: [18][250/625]	Time 3.816 (3.876)	Data 3.714 (3.773)	Loss 0.0022 (0.0028)	
Epoch: [18][275/625]	Time 3.784 (3.874)	Data 3.682 (3.771)	Loss 0.0027 (0.0028)	
Epoch: [18][300/625]	Time 3.907 (3.874)	Data 3.805 (3.771)	Loss 0.0019 (0.0027)	
Epoch: [18][325/625]	Time 3.803 (3.876)	Data 3.700 (3.773)	Loss 0.0026 (0.0027)	
Epoch: [18][350/625]	Time 3.842 (3.876)	Data 3.740 (3.773)	Loss 0.0025 (0.0027)	
Epoch: [18][375/625]	Time 3.902 (3.876)	Data 3.791 (3.773)	Loss 0.0026 (0.0027)	
Epoch: [18][400/625]	Time 3.839 (3.876)	Data 3.736 (3.773)	Loss 0.0027 (0.0027)	
Epoch: [18][425/625]	Time 3.827 (3.875)	Data 3.725 (3.772)	Loss 0.0029 (0.0027)	
Epoch: [18][450/625]	Time 3.840 (3.874)	Data 3.733 (3.771)	Loss 0.0031 (0.0027)	
Epoch: [18][475/625]	Time 3.773 (3.870)	Data 3.670 (3.767)	Loss 0.0031 (0.0027)	
Epoch: [18][500/625]	Time 3.735 (3.864)	Data 3.632 (3.761)	Loss 0.0029 (0.0027)	
Epoch: [18][525/625]	Time 3.684 (3.858)	Data 3.581 (3.755)	Loss 0.0024 (0.0027)	
Epoch: [18][550/625]	Time 3.740 (3.852)	Data 3.630 (3.748)	Loss 0.0031 (0.0027)	
Epoch: [18][575/625]	Time 3.704 (3.847)	Data 3.602 (3.744)	Loss 0.0027 (0.0027)	
Epoch: [18][600/625]	Time 3.672 (3.841)	Data 3.570 (3.738)	Loss 0.0024 (0.0027)	
