True
Epoch: [76][0/625]	Time 3.768 (3.768)	Data 3.665 (3.665)	Loss 0.0023 (0.0023)	
Epoch: [76][25/625]	Time 3.696 (3.720)	Data 3.593 (3.617)	Loss 0.0031 (0.0027)	
Epoch: [76][50/625]	Time 3.666 (3.717)	Data 3.562 (3.614)	Loss 0.0026 (0.0027)	
Epoch: [76][75/625]	Time 4.818 (3.733)	Data 4.710 (3.630)	Loss 0.0031 (0.0027)	
Epoch: [76][100/625]	Time 3.667 (3.767)	Data 3.563 (3.664)	Loss 0.0031 (0.0027)	
Epoch: [76][125/625]	Time 3.711 (3.756)	Data 3.609 (3.652)	Loss 0.0025 (0.0027)	
Epoch: [76][150/625]	Time 3.679 (3.749)	Data 3.576 (3.646)	Loss 0.0022 (0.0027)	
Epoch: [76][175/625]	Time 3.754 (3.744)	Data 3.652 (3.641)	Loss 0.0032 (0.0027)	
Epoch: [76][200/625]	Time 3.664 (3.739)	Data 3.561 (3.635)	Loss 0.0034 (0.0027)	
Epoch: [76][225/625]	Time 3.715 (3.733)	Data 3.613 (3.630)	Loss 0.0031 (0.0027)	
Epoch: [76][250/625]	Time 3.718 (3.731)	Data 3.615 (3.627)	Loss 0.0026 (0.0027)	
Epoch: [76][275/625]	Time 3.644 (3.728)	Data 3.542 (3.625)	Loss 0.0023 (0.0027)	
Epoch: [76][300/625]	Time 3.698 (3.727)	Data 3.595 (3.624)	Loss 0.0027 (0.0027)	
Epoch: [76][325/625]	Time 3.704 (3.725)	Data 3.602 (3.622)	Loss 0.0027 (0.0027)	
Epoch: [76][350/625]	Time 3.680 (3.724)	Data 3.578 (3.621)	Loss 0.0022 (0.0027)	
Epoch: [76][375/625]	Time 3.716 (3.723)	Data 3.612 (3.620)	Loss 0.0023 (0.0027)	
Epoch: [76][400/625]	Time 3.771 (3.721)	Data 3.667 (3.618)	Loss 0.0026 (0.0027)	
Epoch: [76][425/625]	Time 3.707 (3.721)	Data 3.605 (3.618)	Loss 0.0025 (0.0027)	
Epoch: [76][450/625]	Time 3.730 (3.721)	Data 3.628 (3.618)	Loss 0.0025 (0.0027)	
Epoch: [76][475/625]	Time 4.178 (3.721)	Data 4.070 (3.618)	Loss 0.0024 (0.0027)	
Epoch: [76][500/625]	Time 3.726 (3.736)	Data 3.624 (3.633)	Loss 0.0019 (0.0027)	
Epoch: [76][525/625]	Time 3.686 (3.733)	Data 3.584 (3.630)	Loss 0.0029 (0.0027)	
Epoch: [76][550/625]	Time 3.724 (3.731)	Data 3.622 (3.628)	Loss 0.0027 (0.0027)	
Epoch: [76][575/625]	Time 3.713 (3.729)	Data 3.611 (3.626)	Loss 0.0026 (0.0027)	
Epoch: [76][600/625]	Time 4.400 (3.736)	Data 4.298 (3.633)	Loss 0.0022 (0.0027)	
