True
Epoch: [97][0/625]	Time 3.776 (3.776)	Data 3.665 (3.665)	Loss 0.0030 (0.0030)	
Epoch: [97][25/625]	Time 3.739 (3.737)	Data 3.638 (3.633)	Loss 0.0026 (0.0027)	
Epoch: [97][50/625]	Time 3.880 (3.738)	Data 3.778 (3.634)	Loss 0.0030 (0.0027)	
Epoch: [97][75/625]	Time 3.732 (3.750)	Data 3.630 (3.647)	Loss 0.0024 (0.0027)	
Epoch: [97][100/625]	Time 3.723 (3.783)	Data 3.621 (3.679)	Loss 0.0024 (0.0026)	
Epoch: [97][125/625]	Time 4.532 (3.882)	Data 4.431 (3.778)	Loss 0.0030 (0.0027)	
Epoch: [97][150/625]	Time 3.841 (3.872)	Data 3.739 (3.768)	Loss 0.0029 (0.0027)	
Epoch: [97][175/625]	Time 3.765 (3.858)	Data 3.664 (3.754)	Loss 0.0027 (0.0027)	
Epoch: [97][200/625]	Time 4.427 (3.865)	Data 4.325 (3.761)	Loss 0.0026 (0.0027)	
Epoch: [97][225/625]	Time 3.945 (3.869)	Data 3.843 (3.765)	Loss 0.0032 (0.0027)	
Epoch: [97][250/625]	Time 3.745 (3.907)	Data 3.642 (3.803)	Loss 0.0018 (0.0027)	
Epoch: [97][275/625]	Time 5.376 (3.921)	Data 5.273 (3.817)	Loss 0.0033 (0.0027)	
Epoch: [97][300/625]	Time 5.323 (3.936)	Data 5.221 (3.832)	Loss 0.0024 (0.0027)	
Epoch: [97][325/625]	Time 5.717 (3.938)	Data 5.613 (3.834)	Loss 0.0026 (0.0027)	
Epoch: [97][350/625]	Time 3.701 (3.963)	Data 3.598 (3.860)	Loss 0.0024 (0.0027)	
Epoch: [97][375/625]	Time 4.090 (3.998)	Data 3.989 (3.895)	Loss 0.0028 (0.0027)	
Epoch: [97][400/625]	Time 3.711 (4.010)	Data 3.607 (3.906)	Loss 0.0030 (0.0027)	
Epoch: [97][425/625]	Time 3.837 (4.029)	Data 3.722 (3.925)	Loss 0.0020 (0.0027)	
Epoch: [97][450/625]	Time 3.835 (4.019)	Data 3.732 (3.915)	Loss 0.0027 (0.0027)	
Epoch: [97][475/625]	Time 3.845 (4.018)	Data 3.741 (3.915)	Loss 0.0029 (0.0027)	
Epoch: [97][500/625]	Time 3.819 (4.026)	Data 3.718 (3.922)	Loss 0.0026 (0.0027)	
Epoch: [97][525/625]	Time 4.184 (4.022)	Data 4.082 (3.919)	Loss 0.0028 (0.0027)	
Epoch: [97][550/625]	Time 3.839 (4.016)	Data 3.737 (3.913)	Loss 0.0031 (0.0027)	
Epoch: [97][575/625]	Time 4.163 (4.040)	Data 4.052 (3.936)	Loss 0.0025 (0.0027)	
Epoch: [97][600/625]	Time 3.793 (4.076)	Data 3.692 (3.973)	Loss 0.0021 (0.0027)	
