True
Epoch: [78][0/625]	Time 3.709 (3.709)	Data 3.607 (3.607)	Loss 0.0026 (0.0026)	
Epoch: [78][25/625]	Time 3.815 (3.781)	Data 3.713 (3.677)	Loss 0.0028 (0.0028)	
Epoch: [78][50/625]	Time 3.855 (3.876)	Data 3.752 (3.773)	Loss 0.0040 (0.0028)	
Epoch: [78][75/625]	Time 3.787 (3.945)	Data 3.685 (3.841)	Loss 0.0023 (0.0027)	
Epoch: [78][100/625]	Time 4.213 (3.956)	Data 4.111 (3.852)	Loss 0.0031 (0.0027)	
Epoch: [78][125/625]	Time 3.842 (3.995)	Data 3.740 (3.892)	Loss 0.0021 (0.0027)	
Epoch: [78][150/625]	Time 4.048 (4.047)	Data 3.944 (3.944)	Loss 0.0025 (0.0027)	
Epoch: [78][175/625]	Time 3.950 (4.081)	Data 3.848 (3.977)	Loss 0.0029 (0.0027)	
Epoch: [78][200/625]	Time 3.743 (4.082)	Data 3.641 (3.978)	Loss 0.0031 (0.0027)	
Epoch: [78][225/625]	Time 3.889 (4.094)	Data 3.787 (3.991)	Loss 0.0030 (0.0027)	
Epoch: [78][250/625]	Time 3.818 (4.104)	Data 3.715 (4.000)	Loss 0.0019 (0.0027)	
Epoch: [78][275/625]	Time 3.867 (4.116)	Data 3.766 (4.013)	Loss 0.0032 (0.0027)	
Epoch: [78][300/625]	Time 3.849 (4.105)	Data 3.745 (4.002)	Loss 0.0022 (0.0027)	
Epoch: [78][325/625]	Time 3.833 (4.091)	Data 3.730 (3.988)	Loss 0.0027 (0.0027)	
Epoch: [78][350/625]	Time 4.007 (4.080)	Data 3.905 (3.977)	Loss 0.0025 (0.0027)	
Epoch: [78][375/625]	Time 3.927 (4.078)	Data 3.824 (3.974)	Loss 0.0020 (0.0027)	
Epoch: [78][400/625]	Time 4.256 (4.098)	Data 4.145 (3.995)	Loss 0.0033 (0.0027)	
Epoch: [78][425/625]	Time 4.011 (4.103)	Data 3.909 (4.000)	Loss 0.0028 (0.0027)	
Epoch: [78][450/625]	Time 4.177 (4.109)	Data 4.074 (4.006)	Loss 0.0032 (0.0027)	
Epoch: [78][475/625]	Time 4.029 (4.115)	Data 3.926 (4.011)	Loss 0.0024 (0.0027)	
Epoch: [78][500/625]	Time 4.592 (4.133)	Data 4.490 (4.029)	Loss 0.0029 (0.0027)	
Epoch: [78][525/625]	Time 4.209 (4.139)	Data 4.107 (4.036)	Loss 0.0032 (0.0027)	
Epoch: [78][550/625]	Time 4.094 (4.145)	Data 3.993 (4.041)	Loss 0.0027 (0.0027)	
Epoch: [78][575/625]	Time 4.905 (4.151)	Data 4.798 (4.047)	Loss 0.0029 (0.0027)	
Epoch: [78][600/625]	Time 4.572 (4.155)	Data 4.469 (4.052)	Loss 0.0028 (0.0027)	
