True
Epoch: [30][0/625]	Time 3.598 (3.598)	Data 3.496 (3.496)	Loss 0.0024 (0.0024)	
Epoch: [30][25/625]	Time 3.643 (3.595)	Data 3.541 (3.492)	Loss 0.0031 (0.0025)	
Epoch: [30][50/625]	Time 3.603 (3.605)	Data 3.501 (3.502)	Loss 0.0029 (0.0027)	
Epoch: [30][75/625]	Time 3.616 (3.603)	Data 3.515 (3.501)	Loss 0.0019 (0.0027)	
Epoch: [30][100/625]	Time 3.646 (3.602)	Data 3.543 (3.499)	Loss 0.0025 (0.0027)	
Epoch: [30][125/625]	Time 3.606 (3.602)	Data 3.504 (3.499)	Loss 0.0026 (0.0027)	
Epoch: [30][150/625]	Time 3.570 (3.602)	Data 3.467 (3.499)	Loss 0.0028 (0.0027)	
Epoch: [30][175/625]	Time 3.598 (3.604)	Data 3.496 (3.501)	Loss 0.0033 (0.0027)	
Epoch: [30][200/625]	Time 3.584 (3.603)	Data 3.482 (3.501)	Loss 0.0025 (0.0027)	
Epoch: [30][225/625]	Time 3.597 (3.603)	Data 3.495 (3.500)	Loss 0.0032 (0.0027)	
Epoch: [30][250/625]	Time 3.597 (3.602)	Data 3.494 (3.499)	Loss 0.0027 (0.0027)	
Epoch: [30][275/625]	Time 3.623 (3.602)	Data 3.520 (3.499)	Loss 0.0037 (0.0027)	
Epoch: [30][300/625]	Time 3.564 (3.601)	Data 3.456 (3.498)	Loss 0.0027 (0.0027)	
Epoch: [30][325/625]	Time 3.571 (3.601)	Data 3.469 (3.499)	Loss 0.0021 (0.0027)	
Epoch: [30][350/625]	Time 3.627 (3.601)	Data 3.526 (3.498)	Loss 0.0024 (0.0027)	
Epoch: [30][375/625]	Time 3.621 (3.602)	Data 3.519 (3.499)	Loss 0.0022 (0.0027)	
Epoch: [30][400/625]	Time 3.619 (3.602)	Data 3.518 (3.499)	Loss 0.0029 (0.0027)	
Epoch: [30][425/625]	Time 3.578 (3.602)	Data 3.476 (3.500)	Loss 0.0030 (0.0027)	
Epoch: [30][450/625]	Time 3.549 (3.602)	Data 3.447 (3.500)	Loss 0.0025 (0.0027)	
Epoch: [30][475/625]	Time 3.563 (3.603)	Data 3.462 (3.501)	Loss 0.0024 (0.0027)	
Epoch: [30][500/625]	Time 3.593 (3.603)	Data 3.491 (3.501)	Loss 0.0024 (0.0027)	
Epoch: [30][525/625]	Time 3.645 (3.603)	Data 3.544 (3.501)	Loss 0.0026 (0.0027)	
Epoch: [30][550/625]	Time 3.549 (3.607)	Data 3.447 (3.504)	Loss 0.0024 (0.0027)	
Epoch: [30][575/625]	Time 3.550 (3.607)	Data 3.448 (3.504)	Loss 0.0023 (0.0027)	
Epoch: [30][600/625]	Time 3.550 (3.607)	Data 3.448 (3.504)	Loss 0.0032 (0.0027)	
