True
Epoch: [65][0/625]	Time 3.721 (3.721)	Data 3.618 (3.618)	Loss 0.0025 (0.0025)	
Epoch: [65][25/625]	Time 3.639 (3.662)	Data 3.536 (3.559)	Loss 0.0021 (0.0026)	
Epoch: [65][50/625]	Time 3.655 (3.675)	Data 3.553 (3.572)	Loss 0.0041 (0.0026)	
Epoch: [65][75/625]	Time 3.748 (3.719)	Data 3.647 (3.616)	Loss 0.0026 (0.0027)	
Epoch: [65][100/625]	Time 3.795 (3.765)	Data 3.693 (3.662)	Loss 0.0027 (0.0027)	
Epoch: [65][125/625]	Time 3.864 (3.820)	Data 3.763 (3.718)	Loss 0.0023 (0.0027)	
Epoch: [65][150/625]	Time 3.944 (3.910)	Data 3.834 (3.807)	Loss 0.0027 (0.0027)	
Epoch: [65][175/625]	Time 4.064 (3.938)	Data 3.962 (3.836)	Loss 0.0027 (0.0027)	
Epoch: [65][200/625]	Time 4.349 (3.962)	Data 4.246 (3.860)	Loss 0.0026 (0.0027)	
Epoch: [65][225/625]	Time 4.042 (3.989)	Data 3.940 (3.887)	Loss 0.0026 (0.0027)	
Epoch: [65][250/625]	Time 4.219 (4.003)	Data 4.117 (3.901)	Loss 0.0031 (0.0027)	
Epoch: [65][275/625]	Time 4.027 (4.034)	Data 3.926 (3.932)	Loss 0.0031 (0.0027)	
Epoch: [65][300/625]	Time 4.273 (4.053)	Data 4.172 (3.950)	Loss 0.0027 (0.0027)	
Epoch: [65][325/625]	Time 4.082 (4.063)	Data 3.980 (3.960)	Loss 0.0019 (0.0027)	
Epoch: [65][350/625]	Time 3.969 (4.093)	Data 3.866 (3.990)	Loss 0.0029 (0.0027)	
Epoch: [65][375/625]	Time 5.666 (4.108)	Data 5.564 (4.005)	Loss 0.0026 (0.0027)	
Epoch: [65][400/625]	Time 4.351 (4.128)	Data 4.249 (4.026)	Loss 0.0023 (0.0027)	
Epoch: [65][425/625]	Time 4.726 (4.159)	Data 4.623 (4.056)	Loss 0.0027 (0.0027)	
Epoch: [65][450/625]	Time 4.321 (4.195)	Data 4.220 (4.093)	Loss 0.0028 (0.0027)	
Epoch: [65][475/625]	Time 4.550 (4.240)	Data 4.449 (4.137)	Loss 0.0029 (0.0027)	
Epoch: [65][500/625]	Time 5.174 (4.276)	Data 5.071 (4.173)	Loss 0.0027 (0.0027)	
Epoch: [65][525/625]	Time 4.796 (4.314)	Data 4.695 (4.211)	Loss 0.0025 (0.0027)	
Epoch: [65][550/625]	Time 4.606 (4.349)	Data 4.504 (4.246)	Loss 0.0034 (0.0027)	
Epoch: [65][575/625]	Time 5.121 (4.383)	Data 5.019 (4.280)	Loss 0.0026 (0.0027)	
Epoch: [65][600/625]	Time 4.677 (4.410)	Data 4.574 (4.307)	Loss 0.0025 (0.0027)	
