True
Epoch: [34][0/625]	Time 3.617 (3.617)	Data 3.510 (3.510)	Loss 0.0028 (0.0028)	
Epoch: [34][25/625]	Time 3.650 (3.655)	Data 3.549 (3.552)	Loss 0.0030 (0.0027)	
Epoch: [34][50/625]	Time 3.648 (3.664)	Data 3.546 (3.562)	Loss 0.0032 (0.0027)	
Epoch: [34][75/625]	Time 3.709 (3.667)	Data 3.597 (3.565)	Loss 0.0023 (0.0027)	
Epoch: [34][100/625]	Time 3.717 (3.670)	Data 3.606 (3.567)	Loss 0.0035 (0.0027)	
Epoch: [34][125/625]	Time 3.699 (3.669)	Data 3.597 (3.566)	Loss 0.0028 (0.0027)	
Epoch: [34][150/625]	Time 3.651 (3.667)	Data 3.549 (3.565)	Loss 0.0023 (0.0027)	
Epoch: [34][175/625]	Time 3.695 (3.669)	Data 3.593 (3.567)	Loss 0.0026 (0.0027)	
Epoch: [34][200/625]	Time 3.671 (3.671)	Data 3.569 (3.568)	Loss 0.0022 (0.0027)	
Epoch: [34][225/625]	Time 3.663 (3.671)	Data 3.560 (3.568)	Loss 0.0029 (0.0027)	
Epoch: [34][250/625]	Time 3.645 (3.671)	Data 3.537 (3.568)	Loss 0.0023 (0.0027)	
Epoch: [34][275/625]	Time 3.705 (3.671)	Data 3.602 (3.568)	Loss 0.0023 (0.0027)	
Epoch: [34][300/625]	Time 3.662 (3.671)	Data 3.561 (3.568)	Loss 0.0031 (0.0027)	
Epoch: [34][325/625]	Time 3.633 (3.672)	Data 3.531 (3.569)	Loss 0.0027 (0.0027)	
Epoch: [34][350/625]	Time 3.667 (3.672)	Data 3.564 (3.569)	Loss 0.0023 (0.0027)	
Epoch: [34][375/625]	Time 3.722 (3.672)	Data 3.619 (3.569)	Loss 0.0021 (0.0027)	
Epoch: [34][400/625]	Time 3.677 (3.672)	Data 3.574 (3.569)	Loss 0.0023 (0.0027)	
Epoch: [34][425/625]	Time 3.655 (3.672)	Data 3.553 (3.569)	Loss 0.0026 (0.0027)	
Epoch: [34][450/625]	Time 3.653 (3.672)	Data 3.551 (3.569)	Loss 0.0029 (0.0027)	
Epoch: [34][475/625]	Time 3.749 (3.673)	Data 3.638 (3.570)	Loss 0.0021 (0.0027)	
Epoch: [34][500/625]	Time 3.618 (3.671)	Data 3.515 (3.568)	Loss 0.0023 (0.0027)	
Epoch: [34][525/625]	Time 3.665 (3.670)	Data 3.563 (3.567)	Loss 0.0026 (0.0027)	
Epoch: [34][550/625]	Time 3.618 (3.674)	Data 3.516 (3.571)	Loss 0.0022 (0.0026)	
Epoch: [34][575/625]	Time 3.582 (3.673)	Data 3.481 (3.570)	Loss 0.0030 (0.0027)	
Epoch: [34][600/625]	Time 3.774 (3.671)	Data 3.672 (3.568)	Loss 0.0034 (0.0027)	
