True
Epoch: [2][0/625]	Time 3.668 (3.668)	Data 3.565 (3.565)	Loss 0.0029 (0.0029)	
Epoch: [2][25/625]	Time 3.664 (3.677)	Data 3.561 (3.573)	Loss 0.0028 (0.0033)	
Epoch: [2][50/625]	Time 3.753 (3.685)	Data 3.651 (3.581)	Loss 0.0034 (0.0032)	
Epoch: [2][75/625]	Time 3.690 (3.686)	Data 3.587 (3.582)	Loss 0.0038 (0.0032)	
Epoch: [2][100/625]	Time 3.719 (3.686)	Data 3.616 (3.582)	Loss 0.0031 (0.0031)	
Epoch: [2][125/625]	Time 3.679 (3.685)	Data 3.577 (3.581)	Loss 0.0029 (0.0031)	
Epoch: [2][150/625]	Time 3.667 (3.685)	Data 3.555 (3.581)	Loss 0.0031 (0.0032)	
Epoch: [2][175/625]	Time 3.685 (3.686)	Data 3.583 (3.582)	Loss 0.0034 (0.0032)	
Epoch: [2][200/625]	Time 3.693 (3.686)	Data 3.591 (3.582)	Loss 0.0031 (0.0032)	
Epoch: [2][225/625]	Time 3.684 (3.685)	Data 3.579 (3.581)	Loss 0.0030 (0.0032)	
Epoch: [2][250/625]	Time 3.747 (3.686)	Data 3.644 (3.582)	Loss 0.0034 (0.0032)	
Epoch: [2][275/625]	Time 3.711 (3.687)	Data 3.609 (3.583)	Loss 0.0033 (0.0032)	
Epoch: [2][300/625]	Time 3.716 (3.687)	Data 3.613 (3.583)	Loss 0.0037 (0.0032)	
Epoch: [2][325/625]	Time 3.725 (3.688)	Data 3.623 (3.584)	Loss 0.0039 (0.0032)	
Epoch: [2][350/625]	Time 3.729 (3.689)	Data 3.620 (3.586)	Loss 0.0029 (0.0032)	
Epoch: [2][375/625]	Time 3.650 (3.690)	Data 3.548 (3.586)	Loss 0.0034 (0.0032)	
Epoch: [2][400/625]	Time 3.681 (3.690)	Data 3.579 (3.586)	Loss 0.0033 (0.0032)	
Epoch: [2][425/625]	Time 3.714 (3.690)	Data 3.612 (3.586)	Loss 0.0036 (0.0032)	
Epoch: [2][450/625]	Time 3.756 (3.691)	Data 3.654 (3.587)	Loss 0.0026 (0.0032)	
Epoch: [2][475/625]	Time 3.722 (3.691)	Data 3.618 (3.587)	Loss 0.0025 (0.0032)	
Epoch: [2][500/625]	Time 3.698 (3.691)	Data 3.596 (3.587)	Loss 0.0031 (0.0032)	
Epoch: [2][525/625]	Time 3.727 (3.691)	Data 3.616 (3.588)	Loss 0.0031 (0.0032)	
Epoch: [2][550/625]	Time 3.672 (3.692)	Data 3.561 (3.589)	Loss 0.0029 (0.0032)	
Epoch: [2][575/625]	Time 5.316 (3.696)	Data 5.214 (3.592)	Loss 0.0031 (0.0032)	
Epoch: [2][600/625]	Time 3.795 (3.696)	Data 3.693 (3.592)	Loss 0.0028 (0.0032)	
