True
Epoch: [71][0/625]	Time 9.058 (9.058)	Data 8.947 (8.947)	Loss 0.0038 (0.0038)	
Epoch: [71][25/625]	Time 9.704 (11.829)	Data 9.602 (11.724)	Loss 0.0026 (0.0028)	
Epoch: [71][50/625]	Time 16.346 (12.317)	Data 16.235 (12.213)	Loss 0.0026 (0.0029)	
Epoch: [71][75/625]	Time 8.667 (11.707)	Data 8.566 (11.603)	Loss 0.0028 (0.0028)	
Epoch: [71][100/625]	Time 7.132 (11.133)	Data 7.023 (11.028)	Loss 0.0027 (0.0028)	
Epoch: [71][125/625]	Time 8.234 (10.824)	Data 8.132 (10.720)	Loss 0.0031 (0.0028)	
Epoch: [71][150/625]	Time 10.078 (10.515)	Data 9.968 (10.411)	Loss 0.0025 (0.0028)	
Epoch: [71][175/625]	Time 9.962 (10.303)	Data 9.860 (10.199)	Loss 0.0030 (0.0027)	
Epoch: [71][200/625]	Time 5.624 (10.080)	Data 5.522 (9.977)	Loss 0.0022 (0.0027)	
Epoch: [71][225/625]	Time 6.051 (9.842)	Data 5.950 (9.738)	Loss 0.0023 (0.0027)	
Epoch: [71][250/625]	Time 7.130 (9.502)	Data 7.028 (9.399)	Loss 0.0032 (0.0027)	
Epoch: [71][275/625]	Time 7.614 (9.419)	Data 7.512 (9.315)	Loss 0.0027 (0.0027)	
Epoch: [71][300/625]	Time 9.814 (9.498)	Data 9.712 (9.394)	Loss 0.0023 (0.0027)	
Epoch: [71][325/625]	Time 8.653 (9.477)	Data 8.543 (9.374)	Loss 0.0032 (0.0027)	
Epoch: [71][350/625]	Time 6.661 (9.434)	Data 6.558 (9.331)	Loss 0.0027 (0.0027)	
Epoch: [71][375/625]	Time 11.959 (9.366)	Data 11.857 (9.262)	Loss 0.0032 (0.0027)	
Epoch: [71][400/625]	Time 13.144 (9.422)	Data 13.034 (9.319)	Loss 0.0019 (0.0027)	
Epoch: [71][425/625]	Time 10.151 (9.438)	Data 10.045 (9.334)	Loss 0.0026 (0.0027)	
Epoch: [71][450/625]	Time 7.033 (9.476)	Data 6.932 (9.372)	Loss 0.0024 (0.0027)	
Epoch: [71][475/625]	Time 10.432 (9.470)	Data 10.321 (9.366)	Loss 0.0032 (0.0027)	
Epoch: [71][500/625]	Time 10.406 (9.464)	Data 10.295 (9.360)	Loss 0.0023 (0.0027)	
Epoch: [71][525/625]	Time 8.457 (9.464)	Data 8.346 (9.361)	Loss 0.0024 (0.0027)	
Epoch: [71][550/625]	Time 11.293 (9.467)	Data 11.191 (9.364)	Loss 0.0025 (0.0027)	
Epoch: [71][575/625]	Time 8.713 (9.507)	Data 8.612 (9.403)	Loss 0.0029 (0.0027)	
Epoch: [71][600/625]	Time 9.253 (9.539)	Data 9.121 (9.435)	Loss 0.0029 (0.0027)	
