True
Epoch: [50][0/625]	Time 3.564 (3.564)	Data 3.462 (3.462)	Loss 0.0027 (0.0027)	
Epoch: [50][25/625]	Time 3.685 (3.752)	Data 3.584 (3.650)	Loss 0.0023 (0.0028)	
Epoch: [50][50/625]	Time 4.557 (3.811)	Data 4.455 (3.709)	Loss 0.0027 (0.0029)	
Epoch: [50][75/625]	Time 3.919 (3.860)	Data 3.808 (3.757)	Loss 0.0030 (0.0028)	
Epoch: [50][100/625]	Time 3.949 (3.950)	Data 3.847 (3.848)	Loss 0.0022 (0.0028)	
Epoch: [50][125/625]	Time 5.194 (3.967)	Data 5.091 (3.864)	Loss 0.0027 (0.0028)	
Epoch: [50][150/625]	Time 3.833 (3.957)	Data 3.732 (3.854)	Loss 0.0031 (0.0028)	
Epoch: [50][175/625]	Time 3.806 (3.971)	Data 3.704 (3.868)	Loss 0.0024 (0.0028)	
Epoch: [50][200/625]	Time 4.333 (4.068)	Data 4.227 (3.965)	Loss 0.0028 (0.0028)	
Epoch: [50][225/625]	Time 4.309 (4.179)	Data 4.207 (4.077)	Loss 0.0033 (0.0028)	
Epoch: [50][250/625]	Time 7.472 (4.271)	Data 7.370 (4.169)	Loss 0.0034 (0.0028)	
Epoch: [50][275/625]	Time 5.635 (4.342)	Data 5.533 (4.239)	Loss 0.0034 (0.0028)	
Epoch: [50][300/625]	Time 7.872 (4.506)	Data 7.770 (4.403)	Loss 0.0034 (0.0028)	
Epoch: [50][325/625]	Time 4.941 (4.577)	Data 4.840 (4.475)	Loss 0.0029 (0.0028)	
Epoch: [50][350/625]	Time 5.169 (4.703)	Data 5.067 (4.600)	Loss 0.0027 (0.0028)	
Epoch: [50][375/625]	Time 7.606 (4.800)	Data 7.505 (4.697)	Loss 0.0035 (0.0028)	
Epoch: [50][400/625]	Time 4.970 (4.956)	Data 4.859 (4.853)	Loss 0.0023 (0.0028)	
Epoch: [50][425/625]	Time 10.597 (5.124)	Data 10.493 (5.021)	Loss 0.0019 (0.0028)	
Epoch: [50][450/625]	Time 7.252 (5.248)	Data 7.148 (5.145)	Loss 0.0024 (0.0028)	
Epoch: [50][475/625]	Time 5.580 (5.364)	Data 5.477 (5.261)	Loss 0.0033 (0.0028)	
Epoch: [50][500/625]	Time 5.621 (5.459)	Data 5.510 (5.356)	Loss 0.0028 (0.0028)	
Epoch: [50][525/625]	Time 5.434 (5.476)	Data 5.323 (5.373)	Loss 0.0030 (0.0028)	
Epoch: [50][550/625]	Time 5.650 (5.481)	Data 5.541 (5.377)	Loss 0.0028 (0.0028)	
Epoch: [50][575/625]	Time 5.677 (5.479)	Data 5.575 (5.376)	Loss 0.0024 (0.0028)	
Epoch: [50][600/625]	Time 5.559 (5.476)	Data 5.457 (5.373)	Loss 0.0023 (0.0028)	
