True
Epoch: [33][0/625]	Time 3.584 (3.584)	Data 3.482 (3.482)	Loss 0.0020 (0.0020)	
Epoch: [33][25/625]	Time 3.636 (3.595)	Data 3.534 (3.492)	Loss 0.0020 (0.0024)	
Epoch: [33][50/625]	Time 3.651 (3.605)	Data 3.549 (3.502)	Loss 0.0025 (0.0026)	
Epoch: [33][75/625]	Time 3.639 (3.608)	Data 3.537 (3.505)	Loss 0.0030 (0.0026)	
Epoch: [33][100/625]	Time 3.638 (3.607)	Data 3.536 (3.505)	Loss 0.0022 (0.0025)	
Epoch: [33][125/625]	Time 3.596 (3.605)	Data 3.495 (3.502)	Loss 0.0024 (0.0026)	
Epoch: [33][150/625]	Time 3.610 (3.604)	Data 3.509 (3.501)	Loss 0.0020 (0.0026)	
Epoch: [33][175/625]	Time 3.617 (3.604)	Data 3.516 (3.501)	Loss 0.0022 (0.0026)	
Epoch: [33][200/625]	Time 3.583 (3.603)	Data 3.481 (3.501)	Loss 0.0033 (0.0026)	
Epoch: [33][225/625]	Time 3.551 (3.604)	Data 3.450 (3.501)	Loss 0.0029 (0.0026)	
Epoch: [33][250/625]	Time 3.594 (3.603)	Data 3.491 (3.500)	Loss 0.0026 (0.0026)	
Epoch: [33][275/625]	Time 3.644 (3.604)	Data 3.541 (3.501)	Loss 0.0019 (0.0026)	
Epoch: [33][300/625]	Time 3.650 (3.605)	Data 3.539 (3.503)	Loss 0.0026 (0.0026)	
Epoch: [33][325/625]	Time 3.606 (3.605)	Data 3.504 (3.502)	Loss 0.0025 (0.0026)	
Epoch: [33][350/625]	Time 3.629 (3.604)	Data 3.527 (3.502)	Loss 0.0024 (0.0026)	
Epoch: [33][375/625]	Time 3.558 (3.605)	Data 3.456 (3.502)	Loss 0.0025 (0.0026)	
Epoch: [33][400/625]	Time 3.634 (3.605)	Data 3.532 (3.503)	Loss 0.0033 (0.0026)	
Epoch: [33][425/625]	Time 3.573 (3.605)	Data 3.470 (3.503)	Loss 0.0025 (0.0026)	
Epoch: [33][450/625]	Time 3.579 (3.605)	Data 3.477 (3.502)	Loss 0.0028 (0.0026)	
Epoch: [33][475/625]	Time 3.586 (3.604)	Data 3.485 (3.502)	Loss 0.0027 (0.0026)	
Epoch: [33][500/625]	Time 3.512 (3.604)	Data 3.410 (3.502)	Loss 0.0026 (0.0026)	
Epoch: [33][525/625]	Time 3.583 (3.605)	Data 3.481 (3.502)	Loss 0.0035 (0.0026)	
Epoch: [33][550/625]	Time 3.618 (3.604)	Data 3.516 (3.502)	Loss 0.0027 (0.0026)	
Epoch: [33][575/625]	Time 3.539 (3.604)	Data 3.438 (3.501)	Loss 0.0020 (0.0026)	
Epoch: [33][600/625]	Time 3.687 (3.608)	Data 3.585 (3.505)	Loss 0.0026 (0.0026)	
