True
Epoch: [83][0/625]	Time 3.657 (3.657)	Data 3.554 (3.554)	Loss 0.0028 (0.0028)	
Epoch: [83][25/625]	Time 3.675 (3.702)	Data 3.573 (3.599)	Loss 0.0031 (0.0026)	
Epoch: [83][50/625]	Time 3.685 (3.706)	Data 3.584 (3.603)	Loss 0.0021 (0.0026)	
Epoch: [83][75/625]	Time 3.729 (3.710)	Data 3.627 (3.607)	Loss 0.0023 (0.0027)	
Epoch: [83][100/625]	Time 3.664 (3.706)	Data 3.561 (3.603)	Loss 0.0042 (0.0027)	
Epoch: [83][125/625]	Time 3.736 (3.705)	Data 3.634 (3.602)	Loss 0.0033 (0.0027)	
Epoch: [83][150/625]	Time 3.694 (3.707)	Data 3.592 (3.604)	Loss 0.0020 (0.0027)	
Epoch: [83][175/625]	Time 3.690 (3.706)	Data 3.587 (3.603)	Loss 0.0038 (0.0027)	
Epoch: [83][200/625]	Time 3.662 (3.705)	Data 3.560 (3.602)	Loss 0.0018 (0.0027)	
Epoch: [83][225/625]	Time 3.716 (3.705)	Data 3.614 (3.602)	Loss 0.0034 (0.0027)	
Epoch: [83][250/625]	Time 3.720 (3.703)	Data 3.618 (3.599)	Loss 0.0023 (0.0027)	
Epoch: [83][275/625]	Time 3.692 (3.701)	Data 3.588 (3.598)	Loss 0.0028 (0.0027)	
Epoch: [83][300/625]	Time 3.689 (3.700)	Data 3.585 (3.597)	Loss 0.0019 (0.0027)	
Epoch: [83][325/625]	Time 3.681 (3.718)	Data 3.578 (3.615)	Loss 0.0036 (0.0027)	
Epoch: [83][350/625]	Time 3.701 (3.717)	Data 3.597 (3.614)	Loss 0.0023 (0.0027)	
Epoch: [83][375/625]	Time 3.875 (3.732)	Data 3.773 (3.629)	Loss 0.0030 (0.0027)	
Epoch: [83][400/625]	Time 3.661 (3.730)	Data 3.559 (3.627)	Loss 0.0022 (0.0027)	
Epoch: [83][425/625]	Time 3.712 (3.728)	Data 3.610 (3.625)	Loss 0.0025 (0.0027)	
Epoch: [83][450/625]	Time 3.677 (3.726)	Data 3.575 (3.622)	Loss 0.0031 (0.0027)	
Epoch: [83][475/625]	Time 3.695 (3.724)	Data 3.593 (3.621)	Loss 0.0029 (0.0027)	
Epoch: [83][500/625]	Time 3.723 (3.725)	Data 3.621 (3.621)	Loss 0.0028 (0.0027)	
Epoch: [83][525/625]	Time 3.723 (3.724)	Data 3.620 (3.621)	Loss 0.0019 (0.0027)	
Epoch: [83][550/625]	Time 3.720 (3.724)	Data 3.617 (3.621)	Loss 0.0028 (0.0027)	
Epoch: [83][575/625]	Time 3.734 (3.722)	Data 3.632 (3.619)	Loss 0.0023 (0.0027)	
Epoch: [83][600/625]	Time 3.681 (3.721)	Data 3.579 (3.618)	Loss 0.0026 (0.0027)	
