True
Epoch: [93][0/625]	Time 3.679 (3.679)	Data 3.572 (3.572)	Loss 0.0024 (0.0024)	
Epoch: [93][25/625]	Time 4.660 (4.389)	Data 4.558 (4.285)	Loss 0.0030 (0.0026)	
Epoch: [93][50/625]	Time 3.769 (4.236)	Data 3.666 (4.132)	Loss 0.0025 (0.0026)	
Epoch: [93][75/625]	Time 4.019 (4.211)	Data 3.915 (4.108)	Loss 0.0025 (0.0026)	
Epoch: [93][100/625]	Time 3.913 (4.263)	Data 3.811 (4.160)	Loss 0.0024 (0.0026)	
Epoch: [93][125/625]	Time 3.792 (4.325)	Data 3.690 (4.222)	Loss 0.0025 (0.0026)	
Epoch: [93][150/625]	Time 4.195 (4.417)	Data 4.092 (4.313)	Loss 0.0023 (0.0026)	
Epoch: [93][175/625]	Time 3.774 (4.434)	Data 3.671 (4.331)	Loss 0.0034 (0.0027)	
Epoch: [93][200/625]	Time 3.859 (4.386)	Data 3.748 (4.282)	Loss 0.0028 (0.0027)	
Epoch: [93][225/625]	Time 4.041 (4.331)	Data 3.938 (4.228)	Loss 0.0026 (0.0027)	
Epoch: [93][250/625]	Time 3.925 (4.320)	Data 3.822 (4.217)	Loss 0.0028 (0.0027)	
Epoch: [93][275/625]	Time 3.797 (4.318)	Data 3.690 (4.215)	Loss 0.0025 (0.0027)	
Epoch: [93][300/625]	Time 5.343 (4.380)	Data 5.241 (4.277)	Loss 0.0028 (0.0027)	
Epoch: [93][325/625]	Time 4.752 (4.412)	Data 4.636 (4.308)	Loss 0.0030 (0.0027)	
Epoch: [93][350/625]	Time 4.101 (4.433)	Data 3.999 (4.329)	Loss 0.0025 (0.0027)	
Epoch: [93][375/625]	Time 3.775 (4.432)	Data 3.673 (4.329)	Loss 0.0031 (0.0027)	
Epoch: [93][400/625]	Time 4.829 (4.462)	Data 4.727 (4.358)	Loss 0.0028 (0.0027)	
Epoch: [93][425/625]	Time 6.811 (4.495)	Data 6.709 (4.392)	Loss 0.0032 (0.0027)	
Epoch: [93][450/625]	Time 4.215 (4.507)	Data 4.112 (4.403)	Loss 0.0026 (0.0027)	
Epoch: [93][475/625]	Time 4.495 (4.539)	Data 4.394 (4.435)	Loss 0.0026 (0.0027)	
Epoch: [93][500/625]	Time 3.717 (4.530)	Data 3.615 (4.426)	Loss 0.0022 (0.0027)	
Epoch: [93][525/625]	Time 4.256 (4.551)	Data 4.154 (4.447)	Loss 0.0025 (0.0027)	
Epoch: [93][550/625]	Time 4.673 (4.591)	Data 4.571 (4.488)	Loss 0.0023 (0.0027)	
Epoch: [93][575/625]	Time 3.820 (4.634)	Data 3.718 (4.531)	Loss 0.0027 (0.0027)	
Epoch: [93][600/625]	Time 3.989 (4.635)	Data 3.885 (4.532)	Loss 0.0039 (0.0027)	
