True
Epoch: [41][0/625]	Time 3.762 (3.762)	Data 3.659 (3.659)	Loss 0.0035 (0.0035)	
Epoch: [41][25/625]	Time 4.033 (3.739)	Data 3.931 (3.636)	Loss 0.0028 (0.0032)	
Epoch: [41][50/625]	Time 3.710 (3.733)	Data 3.599 (3.630)	Loss 0.0030 (0.0032)	
Epoch: [41][75/625]	Time 3.702 (3.724)	Data 3.600 (3.621)	Loss 0.0040 (0.0032)	
Epoch: [41][100/625]	Time 3.736 (3.730)	Data 3.625 (3.627)	Loss 0.0023 (0.0032)	
Epoch: [41][125/625]	Time 3.680 (3.731)	Data 3.577 (3.628)	Loss 0.0027 (0.0032)	
Epoch: [41][150/625]	Time 3.725 (3.733)	Data 3.622 (3.629)	Loss 0.0035 (0.0032)	
Epoch: [41][175/625]	Time 3.755 (3.735)	Data 3.653 (3.632)	Loss 0.0028 (0.0032)	
Epoch: [41][200/625]	Time 3.801 (3.741)	Data 3.699 (3.638)	Loss 0.0039 (0.0032)	
Epoch: [41][225/625]	Time 4.039 (3.748)	Data 3.937 (3.645)	Loss 0.0031 (0.0032)	
Epoch: [41][250/625]	Time 3.805 (3.773)	Data 3.703 (3.670)	Loss 0.0031 (0.0032)	
Epoch: [41][275/625]	Time 3.681 (3.781)	Data 3.579 (3.678)	Loss 0.0031 (0.0032)	
Epoch: [41][300/625]	Time 3.786 (3.798)	Data 3.685 (3.695)	Loss 0.0033 (0.0032)	
Epoch: [41][325/625]	Time 3.734 (3.806)	Data 3.631 (3.703)	Loss 0.0034 (0.0032)	
Epoch: [41][350/625]	Time 3.784 (3.817)	Data 3.681 (3.714)	Loss 0.0037 (0.0032)	
Epoch: [41][375/625]	Time 3.886 (3.832)	Data 3.774 (3.729)	Loss 0.0032 (0.0032)	
Epoch: [41][400/625]	Time 3.915 (3.882)	Data 3.813 (3.779)	Loss 0.0036 (0.0032)	
Epoch: [41][425/625]	Time 3.783 (3.895)	Data 3.680 (3.792)	Loss 0.0029 (0.0032)	
Epoch: [41][450/625]	Time 3.881 (3.894)	Data 3.779 (3.791)	Loss 0.0029 (0.0032)	
Epoch: [41][475/625]	Time 4.046 (3.898)	Data 3.945 (3.795)	Loss 0.0030 (0.0032)	
Epoch: [41][500/625]	Time 4.062 (3.919)	Data 3.960 (3.816)	Loss 0.0034 (0.0032)	
Epoch: [41][525/625]	Time 3.985 (3.947)	Data 3.884 (3.844)	Loss 0.0030 (0.0032)	
Epoch: [41][550/625]	Time 4.026 (3.968)	Data 3.915 (3.865)	Loss 0.0025 (0.0032)	
Epoch: [41][575/625]	Time 5.962 (4.005)	Data 5.860 (3.902)	Loss 0.0029 (0.0032)	
Epoch: [41][600/625]	Time 6.250 (4.033)	Data 6.148 (3.930)	Loss 0.0023 (0.0032)	
