epoch,train_time,train_loss_D,train_loss_D_real,train_loss_D_generated,train_loss_G,train_loss_G_GAN,train_loss_G_generated,val_loss_D,val_loss_G,val_loss_MSE
0,2332.9610941410065,4.36422605430603,3.7025147280311583,0.661711326829195,20.62053919494629,20.62053919494629,15.064346143951417,4.018376368713379,12.333834561157227,0.03302793935239315
1,2318.3934111595154,0.7753398030948639,0.5893656146430969,0.1859741876322031,16.14920816192627,16.14920816192627,12.65536794265747,2.272841883468628,13.008630584716796,0.03332532419264317
2,2328.3344593048096,0.7201275864505767,0.542189417257309,0.1779381690505147,16.232962720947267,16.232962720947267,12.65212439025879,1.7824314601898192,14.344396438598633,0.042066969883441926
3,2322.169191598892,0.8018714356040955,0.5756524260234833,0.22621901056468488,15.699894774475098,15.699894774475098,12.926814353637695,2.236576770019531,13.904090008544921,0.040241073137521746
4,2360.1585714817047,0.8086527750492096,0.5763550652503967,0.23229770887345075,15.297871224670411,15.297871224670411,12.794145715942383,1.5374029706954957,12.81655478515625,0.03361286437213421
5,2342.791566848755,0.7027193097496033,0.5222865625190735,0.18043274654522537,15.189117266845702,15.189117266845702,12.306983951416015,2.22141170501709,14.006906204223633,0.04359501524567604
6,2335.701976299286,0.7816002257537842,0.5648452636432648,0.2167549615252018,15.306331081542968,15.306331081542968,12.948235151672364,1.5923959659576417,14.404105883789063,0.04843568223714829
7,2350.2533440589905,0.7528604272937774,0.5468062906360627,0.20605413677871226,15.387180561218262,15.387180561218262,12.935855616149903,1.602378558731079,12.949349731445313,0.03473915147483349
8,2422.291438817978,0.6508878711605072,0.4987674419212341,0.15212042950227855,15.52452659790039,15.52452659790039,12.479450898590088,1.4677852773666382,18.62287239379883,0.07165134497880936
9,2265.0011038780212,0.683667777671814,0.5130868509101868,0.17058092689558862,15.82616608215332,15.82616608215332,13.056329436950683,1.5662618503570556,14.497447280883788,0.04345791591405868
10,2289.2982082366943,0.701672107334137,0.5213823480510712,0.18028975912034512,15.57906637084961,15.57906637084961,12.85853166229248,1.474265193939209,13.665958270263673,0.03818314199447632
11,2318.8886501789093,0.7111225954818725,0.5235319070148468,0.18759068850651384,15.5693863180542,15.5693863180542,12.841919660339356,1.644867445755005,13.189399114990234,0.03319938754439354
12,2315.46195268631,0.7171818378067016,0.5282513690185547,0.18893046925753354,15.592251215515137,15.592251215515137,12.859134609985352,1.5491842109680176,13.103716845703126,0.03514812883734703
13,2283.5706741809845,0.6808160864734649,0.5109312273025512,0.16988485917508603,15.717968284606934,15.717968284606934,12.83424445739746,1.3998591152191162,16.15987197265625,0.05217578201889992
14,2335.489567756653,0.6652304661750793,0.5042334338569641,0.16099703223988412,15.955054620361327,15.955054620361327,12.971696919250489,1.367260927772522,14.990555471801757,0.05109680827260017
15,2355.432720184326,0.5759597564220429,0.4610200294494629,0.1149397266484052,15.955844646911622,15.955844646911622,12.272930901489257,1.5419802772521973,12.192236477661133,0.0301744498193264
16,2354.566409111023,0.654806723947525,0.4994574978733063,0.1553492260236293,16.06184356689453,16.06184356689453,12.919875247650147,1.4575317157745362,16.39644308166504,0.04949573593735695
17,2355.895073890686,0.6932507278060913,0.5181277818584442,0.17512294577866794,15.839972045288086,15.839972045288086,12.889399866943359,1.8793578048706054,14.67812297668457,0.04179282323718071
18,2367.183560371399,0.6765232200050354,0.5089145000743865,0.167608719830662,15.960392936706542,15.960392936706542,12.946260126037597,1.5696673418045044,12.610577212524413,0.031905692526698115
19,2790.596086025238,0.6652887364006043,0.502771234664917,0.16251750166162848,16.01040242706299,16.01040242706299,12.951591573486327,1.6310654331207275,15.1452171295166,0.051450300425291064
20,3071.115611076355,0.6588230114555359,0.5024811271381379,0.15634188417382539,16.029520374450684,16.029520374450684,12.93380995880127,1.849795701599121,14.99990097503662,0.04340489725470543
21,2425.548586130142,0.6821187488269805,0.5152597627544403,0.16685898654989897,15.899954975891113,15.899954975891113,12.843324824371338,1.5595448585510254,13.535425354003907,0.035659912693500516
22,2355.9003133773804,0.6786218385505677,0.5136355310153962,0.16498630706697703,16.01796062072754,16.01796062072754,12.981183780212403,1.3351520706176758,13.83616831665039,0.037304577317833904
23,2348.9275302886963,0.6659158991241455,0.5059774008274078,0.15993849854528905,16.132696106262205,16.132696106262205,13.013206176757812,1.4113759033203126,13.655609539794922,0.03719457737207413
24,2356.920379638672,0.6648248414707184,0.5055276792812348,0.15929716249376535,16.041392221679686,16.041392221679686,12.90308794128418,1.6373962921142577,17.343885891723634,0.05484123786687851
25,3311.8627014160156,0.6124836365890503,0.47932718779563904,0.13315644847109914,16.354467339172363,16.354467339172363,12.871802973937989,1.4671548482894898,16.31530909729004,0.0560240865111351
26,3103.9263775348663,0.5289930809116363,0.43857982722282407,0.09041325339615346,16.86262383605957,16.86262383605957,12.55196145263672,2.227591709136963,13.398234968566895,0.0311971869379282
27,3161.035754442215,0.4521633426761627,0.3972944299697876,0.054868912782277915,17.247175801086424,17.247175801086424,11.992537576293945,3.039326880645752,12.857212142944336,0.03218017991781235
